scenario,task,target,model,artifact
malaysia_only,regression,target_next_INF_A,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_elastic_net.joblib
malaysia_only,regression,target_next_INF_A,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_random_forest.joblib
malaysia_only,regression,target_next_INF_A,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_xgboost.joblib
malaysia_only,regression,target_next_INF_A,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_lightgbm.joblib
malaysia_only,regression,target_next_INF_A,lstm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_lstm.joblib
malaysia_only,regression,target_next_INF_A,gru,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_gru.joblib
malaysia_only,regression,target_next_INF_A,temporal_cnn,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_A_temporal_cnn.joblib
malaysia_only,regression,target_next_INF_B,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_elastic_net.joblib
malaysia_only,regression,target_next_INF_B,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_random_forest.joblib
malaysia_only,regression,target_next_INF_B,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_xgboost.joblib
malaysia_only,regression,target_next_INF_B,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_lightgbm.joblib
malaysia_only,regression,target_next_INF_B,lstm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_lstm.joblib
malaysia_only,regression,target_next_INF_B,gru,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_gru.joblib
malaysia_only,regression,target_next_INF_B,temporal_cnn,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_B_temporal_cnn.joblib
malaysia_only,regression,target_next_INF_ALL,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_elastic_net.joblib
malaysia_only,regression,target_next_INF_ALL,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_random_forest.joblib
malaysia_only,regression,target_next_INF_ALL,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_xgboost.joblib
malaysia_only,regression,target_next_INF_ALL,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_lightgbm.joblib
malaysia_only,regression,target_next_INF_ALL,lstm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_lstm.joblib
malaysia_only,regression,target_next_INF_ALL,gru,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_gru.joblib
malaysia_only,regression,target_next_INF_ALL,temporal_cnn,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_INF_ALL_temporal_cnn.joblib
malaysia_only,regression,target_next_positivity_rate,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_positivity_rate_elastic_net.joblib
malaysia_only,regression,target_next_positivity_rate,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_positivity_rate_random_forest.joblib
malaysia_only,regression,target_next_positivity_rate,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_positivity_rate_xgboost.joblib
malaysia_only,regression,target_next_positivity_rate,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_positivity_rate_lightgbm.joblib
malaysia_only,regression,target_next_A_rate,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_A_rate_elastic_net.joblib
malaysia_only,regression,target_next_A_rate,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_A_rate_random_forest.joblib
malaysia_only,regression,target_next_A_rate,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_A_rate_xgboost.joblib
malaysia_only,regression,target_next_A_rate,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_A_rate_lightgbm.joblib
malaysia_only,regression,target_next_B_rate,elastic_net,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_B_rate_elastic_net.joblib
malaysia_only,regression,target_next_B_rate,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_B_rate_random_forest.joblib
malaysia_only,regression,target_next_B_rate,xgboost,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_B_rate_xgboost.joblib
malaysia_only,regression,target_next_B_rate,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_regression_target_next_B_rate_lightgbm.joblib
malaysia_only,classification,target_trend,logistic_regression,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_logistic_regression.joblib
malaysia_only,classification,target_trend,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_random_forest.joblib
malaysia_only,classification,target_trend,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_lightgbm.joblib
malaysia_only,classification,target_trend,lstm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_lstm.joblib
malaysia_only,classification,target_trend,gru,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_gru.joblib
malaysia_only,classification,target_trend,temporal_cnn,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_trend_temporal_cnn.joblib
malaysia_only,classification,target_subtype_driver,lstm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_subtype_driver_lstm.joblib
malaysia_only,classification,target_subtype_driver,gru,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_subtype_driver_gru.joblib
malaysia_only,classification,target_subtype_driver,temporal_cnn,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_subtype_driver_temporal_cnn.joblib
malaysia_only,classification,target_increase_binary,logistic_regression,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_increase_binary_logistic_regression.joblib
malaysia_only,classification,target_increase_binary,random_forest,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_increase_binary_random_forest.joblib
malaysia_only,classification,target_increase_binary,lightgbm,C:\Users\LAI\Documents\Codex\2026-05-25\please-check-this-website-link-https\influenza_forecasting_project\models\malaysia_only_classification_target_increase_binary_lightgbm.joblib
