scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
transfer_uae,regression,target_next_INF_A,seasonal_naive,66,84.27272727272727,133.2195726815491,1.0341964201069431,0.5857721602941888,0.2738327920606729,0.6131632269617769,0.8636363636363636,0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,moving_average,66,76.71212121212122,128.47486784062735,0.6930283555915747,0.4496680332756696,0.32463753499335635,0.7823232245070282,0.7727272727272727,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,sarimax,66,104.68693938034339,151.59572135351448,1.7317245314199206,0.7367974981178804,0.0596826519105792,0.46194154740184606,0.3333333333333333,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,prophet,66,121.07318838442497,144.09843056114818,2.7200259938537545,0.8154416220185352,0.1503910822863468,0.4456367456428709,0.16666666666666666,0.10606060606060606,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,elastic_net,66,27.736885227049278,47.02600891792366,0.34295534424461377,0.24394541462681468,0.9095149554634999,0.9318789194819089,0.8939393939393939,0.803030303030303,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,random_forest,66,26.60557916932048,44.48028531479534,0.41617460886787233,0.24759418639718253,0.919046488947096,0.9130480216757688,0.8333333333333334,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,xgboost,66,28.084492654511422,48.493035777705785,0.38018227743595084,0.24634820655047068,0.9037813395546505,0.9267424544284365,0.8636363636363636,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,lightgbm,66,26.703276184393246,44.68325164706934,0.3802074321716514,0.2405420011699526,0.9183060114714204,0.9317536585208924,0.8484848484848485,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,seasonal_naive,66,41.833333333333336,50.48327055630019,2.0929650189975946,1.0089657735659792,-1.6974399720088056,0.2094696990580247,0.48484848484848486,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,moving_average,66,12.068181818181818,17.037781101084875,0.5933610381313458,0.41955888810552056,0.692756367267797,0.7912194252877325,0.7727272727272727,0.6060606060606061,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,sarimax,66,122.988402260301,132.77898131306725,9.781253132039792,1.3457077508786703,-17.660165351882895,-0.46678228958573453,0.07575757575757576,0.07575757575757576,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,prophet,66,40.201019522818655,44.45466270652415,3.0655564184067337,0.9442719728979132,-1.0916617852998138,-0.027213303057280185,0.5151515151515151,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,elastic_net,66,9.004688925648582,11.661531084221652,0.5880008112746337,0.37807106701558363,0.8560644831867357,0.8226855109204326,0.6666666666666666,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,random_forest,66,7.748941244992383,10.423533728678201,0.46189575431064994,0.3281338662105545,0.8850029300143751,0.8344856001202512,0.5151515151515151,0.4393939393939394,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,xgboost,66,7.688819451765581,10.544712885524117,0.4307665977672834,0.33192695956617035,0.8823135828692601,0.8406258235268823,0.7121212121212122,0.5303030303030303,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,lightgbm,66,7.895507460131677,10.772638532471866,0.43538140897307004,0.3363927557009312,0.8771709767313836,0.8435497394348019,0.6363636363636364,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,seasonal_naive,66,115.10606060606061,154.15316075156218,1.0747967206888394,0.6537146621276855,0.056735311285727286,0.49515090146866136,0.8636363636363636,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,moving_average,66,85.39393939393939,132.9939335595288,0.5749614015443196,0.427867101077374,0.29791067196303767,0.7720459317107088,0.8181818181818182,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,sarimax,66,135.0438068016243,159.8277365634371,1.677829812783596,0.7466265879979483,-0.01398844808229227,0.5428544611172372,0.30303030303030304,0.10606060606060606,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,prophet,66,124.11550935716961,145.43160568622682,1.7015093949052578,0.6840451300050172,0.16045050010638529,0.518387075491371,0.30303030303030304,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,elastic_net,66,33.42407617780874,57.51503403253059,0.2776222159034274,0.20699228920379142,0.8686919139069953,0.9443116501832864,0.8787878787878788,0.8636363636363636,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,random_forest,66,30.710397462806544,45.90635112544245,0.3058207985450416,0.22266712560557814,0.9163483989905797,0.9190092002015884,0.7575757575757576,0.6515151515151515,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,xgboost,66,33.23295890923703,52.27225541014938,0.2827438752825484,0.22469713188575546,0.8915396036014923,0.9351559018273711,0.8333333333333334,0.7121212121212122,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,lightgbm,66,32.30032431083458,52.33533398644036,0.29325453552636405,0.2201886647419352,0.8912776805113825,0.927213707497634,0.8636363636363636,0.696969696969697,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,seasonal_naive,66,0.0646702435013748,0.08243263098470843,0.5099062098883523,0.4691745452095707,-0.10330501894806576,0.6002922450683646,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,moving_average,66,0.0447223920372582,0.06451520262835743,0.3614784413306012,0.30850840232476867,0.3241949972686712,0.6847093205302162,1.0,0.9393939393939394,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,sarimax,66,0.060073414588116304,0.08700342847997569,0.46598265172554865,0.47577820563528095,-0.22905128400538954,0.15132032146957522,0.45454545454545453,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,prophet,66,0.03865983134389002,0.05724429855686305,0.2693125670524415,0.2936460347763873,0.46793860679559607,0.7508402045715481,0.7878787878787878,0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,elastic_net,66,0.0501599405406848,0.05854617482421042,0.5508027776559474,0.4009715059407142,0.44346264252207346,0.8645235361653273,1.0,0.9848484848484849,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,random_forest,66,0.017735463063016776,0.02481753536785564,0.16160849395742732,0.1478115413226991,0.8999966450682408,0.89738023170859,1.0,0.9696969696969697,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,xgboost,66,0.02022939272635011,0.027556811171147277,0.17563600160204035,0.16305653139811707,0.8767022385716948,0.8754292394719559,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,lightgbm,66,0.018836686541600027,0.025930509521973167,0.16830736329711504,0.15847438459411683,0.8908259624067019,0.886066172633337,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,seasonal_naive,66,0.04563807779144863,0.06664531190330764,0.4481256303718133,0.4190602027242822,0.28380185901504884,0.692586291513474,1.0,0.9696969696969697,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,moving_average,66,0.04056683692416364,0.06154026574200388,0.43450230964310543,0.35430236920329383,0.3893213816957928,0.7676651706502454,0.9848484848484849,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,sarimax,66,0.0659797941293542,0.10062581050528843,0.6049263058336526,0.8048505596134422,-0.6327239475861837,0.03250182653167728,0.3939393939393939,0.21212121212121213,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,prophet,66,0.04668774476720489,0.057914500356657905,0.668406008106907,0.4646408229516577,0.4591602447293742,0.7321365201962218,0.45454545454545453,0.21212121212121213,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,elastic_net,66,0.021447350360067136,0.03340766834321539,0.24900636155374967,0.21592508808289262,0.8200357210075044,0.9154994259471873,1.0,0.9848484848484849,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,random_forest,66,0.014868766523403626,0.02031620615830453,0.1973932332812276,0.1738161277118091,0.9334452276770909,0.9160839160839163,1.0,0.9848484848484849,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,xgboost,66,0.01732391281610794,0.02445243306072253,0.20559297106374952,0.18744295377077164,0.9035864360130973,0.9114042969762244,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,lightgbm,66,0.015864218585654434,0.021996651448620654,0.19367492486896343,0.1779072691912361,0.9219797879903471,0.9175016702065897,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,seasonal_naive,66,0.02787783120248314,0.03340435266718724,1.477544846752173,0.890386075803286,-1.2232559668449503,0.26742511220123166,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,moving_average,66,0.00965553678220076,0.014173345756705345,0.5800558901093523,0.3941844264532133,0.599752977378931,0.7754305396096441,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,sarimax,66,0.023892574257791583,0.026635849425022205,2.321709280666433,0.7570222140902038,-0.4135671648729522,0.31631353720905964,0.25757575757575757,0.19696969696969696,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,prophet,66,0.018722210536211138,0.022277877985354525,1.5727858276566038,0.6412447598947603,0.011148701044106812,0.40302682392234634,0.7575757575757576,0.5303030303030303,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,elastic_net,66,0.008756374071498428,0.01116538633534855,0.7205874913947465,0.3970667829107399,0.7516118597176539,0.8533347249765161,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,random_forest,66,0.007651429690704784,0.010548590247304718,0.6360314586577801,0.34452267777168544,0.7782966824460984,0.839082739668409,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,xgboost,66,0.00713400396508305,0.009600970073333938,0.5582921692585556,0.33502334095862596,0.8163404236037906,0.8622903272393994,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,lightgbm,66,0.006964499619665683,0.009346783457470238,0.556702383529672,0.33617285865542856,0.8259365012272006,0.8588545961703193,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,classification,target_trend,logistic_regression,66,,,,,,,,,0.48484848484848486,0.48888246256667306,0.4071724221275567,0.6,0.5769230769230769,0.5882352941176471,26.0,0.4,0.8421052631578947,0.5423728813559322,19.0,1.0,0.047619047619047616,0.09090909090909091,21.0,0.684426731039273,0.5791960338067225,,,,,,
transfer_uae,classification,target_trend,random_forest,66,,,,,,,,,0.5303030303030303,0.5053981106612685,0.415962441314554,0.5111111111111111,0.8846153846153846,0.647887323943662,26.0,0.5714285714285714,0.631578947368421,0.6,19.0,0.0,0.0,0.0,21.0,0.6814704974839354,0.56029552005056,,,,,,
transfer_uae,classification,target_trend,lightgbm,66,,,,,,,,,0.5151515151515151,0.49395925711715183,0.4633053221288515,0.4772727272727273,0.8076923076923077,0.6,26.0,0.7333333333333333,0.5789473684210527,0.6470588235294118,19.0,0.2857142857142857,0.09523809523809523,0.14285714285714285,21.0,0.6811835082645086,0.5639615729160209,,,,,,
transfer_uae,classification,target_increase_binary,logistic_regression,66,,,,,,,,,0.5757575757575758,0.6550951847704367,0.5722222222222222,,,,,0.3902439024390244,0.8421052631578947,0.5333333333333333,19.0,,,,,,,0.88,0.46808510638297873,0.6111111111111112,47.0,0.8488241881298992,0.8131827025419702
transfer_uae,classification,target_increase_binary,random_forest,66,,,,,,,,,0.7727272727272727,0.6522956326987682,0.668563776364245,,,,,0.7,0.3684210526315789,0.4827586206896552,19.0,,,,,,,0.7857142857142857,0.9361702127659575,0.8543689320388349,47.0,0.7368421052631579,0.620393476767785
transfer_uae,classification,target_increase_binary,lightgbm,66,,,,,,,,,0.7727272727272727,0.6522956326987682,0.668563776364245,,,,,0.7,0.3684210526315789,0.4827586206896552,19.0,,,,,,,0.7857142857142857,0.9361702127659575,0.8543689320388349,47.0,0.780515117581187,0.7097197520024674
